Timestamp,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s),Temp (C)
2025-02-18 15:30:08,0.23,1.53,-2.52,0.13,-0.13,0.2,30.42
2025-02-18 15:30:09,0.77,1.37,-3.44,0.08,0.1,0.04,30.51
2025-02-18 15:30:10,1.49,2.28,-0.99,0.36,-0.11,0.22,30.56
2025-02-18 15:30:11,1.08,0.14,-3.83,-0.01,0.02,0.06,30.68
2025-02-18 15:30:12,0.89,1.68,-3.65,-0.09,-0.06,-0.09,30.75
2025-02-18 15:30:13,1.17,0.82,-4.3,0.11,-0.06,-0.01,30.84
2025-02-18 15:30:14,0.91,1.53,-3.38,-0.05,-0.11,-0.01,30.94
2025-02-18 15:30:15,1.1,1.44,-3.13,0.04,-0.04,0.03,31.0
2025-02-18 15:30:16,0.08,-1.55,-6.59,-0.71,-0.15,0.52,31.06
2025-02-18 15:30:17,1.21,2.94,-2.49,0.06,0.42,-0.39,31.11
2025-02-18 15:30:18,0.53,2.5,-2.86,-0.06,-0.31,0.25,31.19
2025-02-18 15:30:19,1.02,2.41,-2.69,0.03,-0.12,0.19,31.24
2025-02-18 15:30:20,-0.28,4.15,-5.83,0.01,-0.28,-0.34,31.32
2025-02-18 15:30:21,2.72,1.08,7.43,-0.47,0.08,-0.13,31.36
2025-02-18 15:30:22,0.91,1.16,-2.48,0.2,0.18,-0.01,31.36
2025-02-18 15:30:23,0.87,1.03,-1.43,-0.08,-0.13,-0.07,31.41
2025-02-18 15:30:24,0.72,0.53,-2.13,-0.14,0.07,0.03,31.49
2025-02-18 15:30:25,0.83,0.6,-2.49,-0.09,0.02,0.01,31.54
2025-02-18 15:30:26,0.82,0.67,-2.32,-0.05,-0.0,-0.02,31.58
2025-02-18 15:30:27,0.63,0.96,-3.33,-0.01,0.08,0.07,31.61
2025-02-18 15:30:28,0.68,0.75,-1.94,-0.03,-0.09,-0.03,31.62
2025-02-18 15:30:29,0.84,0.53,-2.25,-0.13,-0.02,-0.04,31.69
2025-02-18 15:30:30,0.74,0.62,-2.32,-0.03,0.03,0.03,31.75
2025-02-18 15:30:31,0.88,0.65,-2.37,-0.04,0.02,0.01,31.82
2025-02-18 15:30:32,0.92,0.85,-2.21,-0.01,0.02,0.05,31.88
2025-02-18 15:30:33,1.04,0.94,-2.31,-0.0,-0.02,0.01,31.94
2025-02-18 15:30:34,0.88,0.91,-2.64,0.01,-0.11,-0.04,31.96
2025-02-18 15:30:35,0.18,0.98,-2.57,-0.02,-0.25,-0.11,32.0
2025-02-18 15:30:36,0.65,1.12,-3.08,-0.19,-1.13,-0.55,32.06
2025-02-18 15:30:37,0.22,1.23,-2.69,-0.11,-1.02,-0.51,32.11
2025-02-18 15:30:38,0.48,0.92,-2.46,-0.07,-0.46,-0.29,32.16
2025-02-18 15:30:39,0.73,0.87,-2.48,-0.03,-0.01,-0.01,32.17
2025-02-18 15:30:40,0.92,0.84,-2.47,-0.03,0.01,-0.0,32.22
2025-02-18 15:30:41,1.11,0.91,-2.16,0.05,0.02,-0.04,32.29
2025-02-18 15:30:42,0.88,0.64,-2.11,-0.04,0.01,-0.0,32.33
2025-02-18 15:30:43,0.84,0.63,-2.13,-0.04,0.0,0.0,32.41
